food_id,recipe_code,recipe_name,recipe_source_type,source_id,source_record_id
GF-REC-00068,ASC070,Chicken stock,asc_manual,SRC-INDB,ASC070
GF-REC-00069,ASC071,White sauce (thin),asc_manual,SRC-INDB,ASC071
GF-REC-00070,ASC072,White sauce (medium),asc_manual,SRC-INDB,ASC072
GF-REC-00071,ASC073,White sauce (thick),asc_manual,SRC-INDB,ASC073
GF-REC-00072,ASC074,Cheese sauce,asc_manual,SRC-INDB,ASC074
GF-REC-00073,ASC075,Egg sauce,asc_manual,SRC-INDB,ASC075
GF-REC-00074,ASC076,Mushroom sauce,asc_manual,SRC-INDB,ASC076
GF-REC-00075,ASC077,Mustard sauce,asc_manual,SRC-INDB,ASC077
GF-REC-00076,ASC078,Brown sauce,asc_manual,SRC-INDB,ASC078
GF-REC-00077,ASC079,Clear tomato soup (Tamatar ka soup),asc_manual,SRC-INDB,ASC079
GF-REC-00078,ASC080,Lentil soup,asc_manual,SRC-INDB,ASC080
GF-REC-00079,ASC081,Chicken consomme (Clear chicken soup),asc_manual,SRC-INDB,ASC081
GF-REC-00080,ASC082,Cream of tomato soup,asc_manual,SRC-INDB,ASC082
GF-REC-00081,ASC083,Cream of green peas soup,asc_manual,SRC-INDB,ASC083
GF-REC-00082,ASC084,Cream of spinach soup,asc_manual,SRC-INDB,ASC084
GF-REC-00083,ASC085,Cream of mixed vegetable soup,asc_manual,SRC-INDB,ASC085
GF-REC-00084,ASC086,Cream of mushroom soup,asc_manual,SRC-INDB,ASC086
GF-REC-00085,ASC087,Chicken sweet corn soup,asc_manual,SRC-INDB,ASC087
GF-REC-00086,ASC088,Minestrone soup,asc_manual,SRC-INDB,ASC088
GF-REC-00087,ASC089,Egg drop soup,asc_manual,SRC-INDB,ASC089
GF-REC-00088,ASC090,Chinese cabbage and meat ball soup,asc_manual,SRC-INDB,ASC090
GF-REC-00089,ASC091,French onion soup,asc_manual,SRC-INDB,ASC091
GF-REC-00090,ASC092,Hot and sour soup,asc_manual,SRC-INDB,ASC092
GF-REC-00091,ASC093,Talaumein soup,asc_manual,SRC-INDB,ASC093
GF-REC-00092,ASC094,Cold cucumber soup (Thanda kheere ka soup),asc_manual,SRC-INDB,ASC094
GF-REC-00093,ASC095,Cold summer garden soup,asc_manual,SRC-INDB,ASC095
GF-REC-00094,ASC096,Chapati/Roti,asc_manual,SRC-INDB,ASC096
GF-REC-00095,ASC097,Plain parantha/paratha,asc_manual,SRC-INDB,ASC097
GF-REC-00096,ASC098,Potato parantha/paratha (Aloo ka parantha/paratha),asc_manual,SRC-INDB,ASC098
GF-REC-00097,ASC099,Radish parantha/paratha (Mooli ka parantha/paratha),asc_manual,SRC-INDB,ASC099
GF-REC-00098,ASC100,Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),asc_manual,SRC-INDB,ASC100
GF-REC-00099,ASC101,Dal parantha/paratha,asc_manual,SRC-INDB,ASC101
GF-REC-00100,ASC102,Sprouted moong parantha/paratha,asc_manual,SRC-INDB,ASC102
GF-REC-00101,ASC103,Pea parantha/paratha (Matar ka parantha/paratha),asc_manual,SRC-INDB,ASC103
GF-REC-00102,ASC104,Keema parantha/paratha,asc_manual,SRC-INDB,ASC104
GF-REC-00103,ASC105,Paneer parantha/paratha,asc_manual,SRC-INDB,ASC105
GF-REC-00104,ASC106,Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),asc_manual,SRC-INDB,ASC106
GF-REC-00105,ASC107,Poori,asc_manual,SRC-INDB,ASC107
GF-REC-00106,ASC108,Spinach poori (Palak poori),asc_manual,SRC-INDB,ASC108
GF-REC-00107,ASC109,Methi poori,asc_manual,SRC-INDB,ASC109
GF-REC-00108,ASC110,Dal stuffed poori,asc_manual,SRC-INDB,ASC110
GF-REC-00109,ASC111,Potato stuffed poori (Aloo ki poori),asc_manual,SRC-INDB,ASC111
GF-REC-00110,ASC112,Tandoori parantha/paratha,asc_manual,SRC-INDB,ASC112
GF-REC-00111,ASC113,Boiled rice (Uble chawal),asc_manual,SRC-INDB,ASC113
GF-REC-00112,ASC114,Plain pulao,asc_manual,SRC-INDB,ASC114
GF-REC-00113,ASC115,Mixed vegetable pulao,asc_manual,SRC-INDB,ASC115
GF-REC-00114,ASC116,Mushroom pulao,asc_manual,SRC-INDB,ASC116
GF-REC-00115,ASC117,Sprouted moong pulao,asc_manual,SRC-INDB,ASC117
GF-REC-00116,ASC118,Paneer pulao,asc_manual,SRC-INDB,ASC118
GF-REC-00117,ASC119,Peanut pulao ,asc_manual,SRC-INDB,ASC119
GF-REC-00118,ASC120,Navratan pulao,asc_manual,SRC-INDB,ASC120
GF-REC-00119,ASC121,Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),asc_manual,SRC-INDB,ASC121
